edge,s_node,e_node,s_lng,s_lat,e_lng,e_lat,c_lng,c_lat
179,1213,38,-122.4720688,37.7844788,-122.4709958,37.7845276,-122.4715323,37.7845032
180,1212,38,-122.4699247,37.7845762,-122.4709958,37.7845276,-122.47046025,37.7845519
181,38,1212,-122.4709958,37.7845276,-122.4699247,37.7845762,-122.47046025,37.7845519
182,39,5369,-122.4708615,37.7826596,-122.4719349,37.7826118,-122.4713982,37.7826357
183,5369,39,-122.4719349,37.7826118,-122.4708615,37.7826596,-122.4713982,37.7826357
184,6146,39,-122.46979,37.7827083,-122.4708615,37.7826596,-122.47032575,37.782683950000006
185,39,6146,-122.4708615,37.7826596,-122.46979,37.7827083,-122.47032575,37.782683950000006
186,39,6831,-122.4708615,37.7826596,-122.4707277,37.7807976,-122.4707946,37.7817286
187,6831,39,-122.4707277,37.7807976,-122.4708615,37.7826596,-122.4707946,37.7817286
188,40,2686,-122.4705849,37.778812,-122.4716588,37.7787631,-122.47112185,37.778787550000004
189,2686,40,-122.4716588,37.7787631,-122.4705849,37.778812,-122.47112185,37.778787550000004
190,2685,40,-122.4695124,37.7788608,-122.4705849,37.778812,-122.47004865,37.7788364
191,40,2685,-122.4705849,37.778812,-122.4695124,37.7788608,-122.47004865,37.7788364
192,40,41,-122.4705849,37.778812,-122.4704505,37.7769424,-122.4705177,37.777877200000006
193,41,40,-122.4704505,37.7769424,-122.4705849,37.778812,-122.4705177,37.777877200000006
194,6874,40,-122.4707189,37.7806758,-122.4705849,37.778812,-122.47065190000001,37.7797439
195,40,6874,-122.4705849,37.778812,-122.4707189,37.7806758,-122.47065190000001,37.7797439
196,5869,41,-122.4693775,37.7769911,-122.4704505,37.7769424,-122.46991399999999,37.77696675
197,41,5869,-122.4704505,37.7769424,-122.4693775,37.7769911,-122.46991399999999,37.77696675
198,41,5370,-122.4704505,37.7769424,-122.4715248,37.7768937,-122.47098765,37.776918050000006
199,5370,41,-122.4715248,37.7768937,-122.4704505,37.7769424,-122.47098765,37.776918050000006
200,41,42,-122.4704505,37.7769424,-122.4703166,37.7750785,-122.47038355000001,37.77601045
201,42,41,-122.4703166,37.7750785,-122.4704505,37.7769424,-122.47038355000001,37.77601045
202,42,5371,-122.4703166,37.7750785,-122.4713911,37.7750296,-122.47085385,37.77505405
203,5371,42,-122.4713911,37.7750296,-122.4703166,37.7750785,-122.47085385,37.77505405
204,6532,42,-122.469243,37.7751274,-122.4703166,37.7750785,-122.4697798,37.775102950000004
205,42,6532,-122.4703166,37.7750785,-122.469243,37.7751274,-122.4697798,37.775102950000004
206,42,8859,-122.4703166,37.7750785,-122.4701823,37.7732107,-122.47024945000001,37.7741446
207,8859,42,-122.4701823,37.7732107,-122.4703166,37.7750785,-122.47024945000001,37.7741446
208,43,44,-122.4682103,37.7448686,-122.4681611,37.744127,-122.46818569999999,37.7444978
209,44,43,-122.4681611,37.744127,-122.4682103,37.7448686,-122.46818569999999,37.7444978
210,44,45,-122.4681611,37.744127,-122.4681124,37.7433923,-122.46813675,37.74375965
211,45,44,-122.4681124,37.7433923,-122.4681611,37.744127,-122.46813675,37.74375965
212,5844,44,-122.4661642,37.7442903,-122.4681611,37.744127,-122.46716265,37.744208650000004
213,44,5844,-122.4681611,37.744127,-122.4661642,37.7442903,-122.46716265,37.744208650000004
214,6494,45,-122.4678017,37.7434179,-122.4681124,37.7433923,-122.46795705,37.7434051
215,45,6494,-122.4681124,37.7433923,-122.4678017,37.7434179,-122.46795705,37.7434051
216,45,5365,-122.4681124,37.7433923,-122.4691826,37.743342,-122.4686475,37.74336715
217,5365,45,-122.4691826,37.743342,-122.4681124,37.7433923,-122.4686475,37.74336715
218,46,6947,-122.4696804,37.7658342,-122.4696741,37.7657439,-122.46967725,37.765789049999995
219,6947,46,-122.4696741,37.7657439,-122.4696804,37.7658342,-122.46967725,37.765789049999995
220,46,2163,-122.4696804,37.7658342,-122.4707492,37.7657869,-122.47021480000001,37.76581055
221,2162,46,-122.4686071,37.7658816,-122.4696804,37.7658342,-122.46914375,37.7658579
222,47,7698,-122.469545,37.7639075,-122.46942,37.762106,-122.4694825,37.76300675
223,7698,47,-122.46942,37.762106,-122.469545,37.7639075,-122.4694825,37.76300675
224,6947,47,-122.4696741,37.7657439,-122.469545,37.7639075,-122.46960955,37.7648257
225,47,6947,-122.469545,37.7639075,-122.4696741,37.7657439,-122.46960955,37.7648257
226,47,5366,-122.469545,37.7639075,-122.4706153,37.7638603,-122.47008015,37.763883899999996
227,5366,47,-122.4706153,37.7638603,-122.469545,37.7639075,-122.47008015,37.763883899999996
228,6113,47,-122.4684732,37.7639549,-122.469545,37.7639075,-122.4690091,37.7639312
229,47,6113,-122.469545,37.7639075,-122.4684732,37.7639549,-122.4690091,37.7639312
230,48,5367,-122.4692852,37.7601763,-122.4703559,37.7601289,-122.46982055000001,37.7601526
231,5367,48,-122.4703559,37.7601289,-122.4692852,37.7601763,-122.46982055000001,37.7601526
232,6533,48,-122.4682138,37.7602235,-122.4692852,37.7601763,-122.4687495,37.7601999
233,48,6533,-122.4692852,37.7601763,-122.4682138,37.7602235,-122.4687495,37.7601999
234,48,49,-122.4692852,37.7601763,-122.4691548,37.7583097,-122.46922,37.759243
235,49,48,-122.4691548,37.7583097,-122.4692852,37.7601763,-122.46922,37.759243
236,7091,48,-122.469411,37.7619775,-122.4692852,37.7601763,-122.46934809999999,37.7610769
237,48,7091,-122.4692852,37.7601763,-122.469411,37.7619775,-122.46934809999999,37.7610769
238,49,50,-122.4691548,37.7583097,-122.4690246,37.7564454,-122.4690897,37.75737755
239,50,49,-122.4690246,37.7564454,-122.4691548,37.7583097,-122.4690897,37.75737755
240,49,1026,-122.4691548,37.7583097,-122.470226,37.7582599,-122.46969039999999,37.7582848
241,1026,49,-122.470226,37.7582599,-122.4691548,37.7583097,-122.46969039999999,37.7582848
242,1025,49,-122.468084,37.7583569,-122.4691548,37.7583097,-122.4686194,37.758333300000004
243,49,1025,-122.4691548,37.7583097,-122.468084,37.7583569,-122.4686194,37.758333300000004
244,50,8968,-122.4690246,37.7564454,-122.4700967,37.7563982,-122.46956065,37.7564218
245,8968,50,-122.4700967,37.7563982,-122.4690246,37.7564454,-122.46956065,37.7564218
246,8965,50,-122.4679545,37.7564925,-122.4690246,37.7564454,-122.46848955,37.75646895
247,50,8965,-122.4690246,37.7564454,-122.4679545,37.7564925,-122.46848955,37.75646895
248,50,51,-122.4690246,37.7564454,-122.4689545,37.7552316,-122.46898955,37.755838499999996
249,51,50,-122.4689545,37.7552316,-122.4690246,37.7564454,-122.46898955,37.755838499999996
250,51,400,-122.4689545,37.7552316,-122.4700302,37.7554422,-122.46949235,37.7553369
251,8384,51,-122.4684912,37.755052,-122.4689545,37.7552316,-122.46872285,37.755141800000004
252,52,53,-122.4084965,37.7749327,-122.4083293,37.7747987,-122.4084129,37.7748657
253,53,52,-122.4083293,37.7747987,-122.4084965,37.7749327,-122.4084129,37.7748657
254,53,54,-122.4083293,37.7747987,-122.4077779,37.7743588,-122.4080536,37.77457875
255,9380,53,-122.4090894,37.774201,-122.4083293,37.7747987,-122.40870935000001,37.77449985
256,54,3604,-122.4077779,37.7743588,-122.4085358,37.7737601,-122.40815685,37.774059449999996
257,3603,54,-122.4068387,37.7751007,-122.4077779,37.7743588,-122.4073083,37.774729750000006
258,55,56,-122.4815695,37.7906893,-122.4809354,37.790563,-122.48125245,37.790626149999994
259,56,55,-122.4809354,37.790563,-122.4815695,37.7906893,-122.48125245,37.790626149999994
260,55,2747,-122.4815695,37.7906893,-122.4822935,37.7887596,-122.4819315,37.789724449999994
261,2747,55,-122.4822935,37.7887596,-122.4815695,37.7906893,-122.4819315,37.789724449999994
262,9571,55,-122.4810574,37.7922152,-122.4815695,37.7906893,-122.48131345,37.79145225
263,55,9571,-122.4815695,37.7906893,-122.4810574,37.7922152,-122.48131345,37.79145225
264,56,57,-122.4809354,37.790563,-122.4808543,37.7906099,-122.48089485,37.79058645
265,57,56,-122.4808543,37.7906099,-122.4809354,37.790563,-122.48089485,37.79058645
266,56,3968,-122.4809354,37.790563,-122.4810111,37.790065,-122.48097325,37.790313999999995
267,3968,56,-122.4810111,37.790065,-122.4809354,37.790563,-122.48097325,37.790313999999995
268,58,5339,-122.3864495,37.7111539,-122.3908983,37.7103454,-122.3886739,37.71074965
269,5339,58,-122.3908983,37.7103454,-122.3864495,37.7111539,-122.3886739,37.71074965
270,59,58,-122.3900339,37.7161347,-122.3864495,37.7111539,-122.38824170000001,37.7136443
