section_id,s_node,e_node,length,direction,interval
13231,4502,5446,119.953,0,0.10374873876571655
13232,4502,17395,212.375,1,0.1283099204301834
13233,17395,4502,212.375,1,0.0
13234,4503,37723,504.852,1,0.23181846737861633
13235,37723,4503,504.852,1,0.24858978390693665
13236,4503,30467,456.661,1,0.0
13237,30467,4503,456.661,1,0.0
13238,17395,4503,190.27500000000003,1,0.0
13239,4503,17395,190.27500000000003,1,0.0
13240,4504,30470,134.425,1,0.006008920259773731
13241,30470,4504,134.425,1,0.2000676393508911
13242,4504,30478,177.72799999999995,1,0.500838041305542
13243,30478,4504,177.72799999999995,1,0.0
13244,30418,4504,85.652,1,0.0
13245,4504,30418,85.652,1,0.25205832719802856
13246,4505,14641,45.412,1,0.32169443368911743
13247,14641,4505,45.412,1,0.08291002362966537
13248,4505,4506,71.46600000000002,1,0.33879560232162476
13249,4506,4505,71.46600000000002,1,0.011129915714263916
13250,4506,14641,63.176,1,0.0
13251,14641,4506,63.176,1,0.0
13252,4506,14638,72.523,1,0.03095787763595581
13253,14638,4506,72.523,1,0.0
13254,34541,4507,7.791,1,0.0
13255,4507,34541,7.791,1,0.0
13256,4507,34542,41.54299999999999,0,0.0
13257,4507,5463,56.035,1,0.0
13258,5463,4507,56.035,1,0.17407317459583282
13259,5460,4508,10.253,1,0.0
13260,4508,5460,10.253,1,0.19399872422218323
13261,4508,41413,19.134,0,0.1796119511127472
13262,4508,5464,67.50399999999999,1,0.37707358598709106
13263,5464,4508,67.50399999999999,1,0.0
13264,4509,14725,142.803,1,0.6278390884399414
13265,14725,4509,142.803,1,0.0
13266,5476,4509,288.9500000000001,1,0.0
13267,4509,5476,288.9500000000001,1,0.6444340348243713
13268,4509,23620,277.15099999999995,1,0.608840823173523
13269,23620,4509,277.15099999999995,1,0.0
13270,4510,14719,258.88800000000003,1,0.10733573138713837
13271,14719,4510,258.88800000000003,1,0.5441974401473999
13272,23620,4510,251.425,1,0.0
13273,4510,23620,251.425,1,0.0798039585351944
13274,4510,34878,210.788,1,0.114198237657547
13275,34878,4510,210.788,1,0.0
13276,4511,5083,40.567,0,0.5232471823692322
13277,14719,4511,163.321,1,0.5129505395889282
13278,4511,14719,163.321,1,0.4646065831184387
13279,35905,4511,110.511,1,0.0
13280,4511,35905,110.511,1,0.07973036170005798
13281,4511,4517,48.429,1,0.2755244970321655
13282,4517,4511,48.429,1,0.488874226808548
13283,4512,4513,219.258,0,0.0
13284,4517,4512,20.198,0,0.49982184171676636
13285,5082,4512,27.711,0,0.24900676310062408
13286,4513,4514,191.16099999999997,0,0.0
