edge,s_node,e_node,s_lng,s_lat,e_lng,e_lat,c_lng,c_lat
308,26378,79,12.5532233,41.88138,12.552148,41.8771194,12.55268565,41.8792497
309,79,26378,12.552148,41.8771194,12.5532233,41.88138,12.55268565,41.8792497
310,79,28048,12.552148,41.8771194,12.5510704,41.8773628,12.551609200000001,41.8772411
311,27656,79,12.5531916,41.8767856,12.552148,41.8771194,12.5526698,41.8769525
312,80,1255,12.5268484,41.8868088,12.5270873,41.888747,12.52696785,41.8877779
313,80,5559,12.5268484,41.8868088,12.5257662,41.8874057,12.5263073,41.88710725
314,42712,80,12.5272167,41.8866036,12.5268484,41.8868088,12.527032550000001,41.8867062
315,81,5853,12.5154927,41.8922274,12.516547,41.8935511,12.51601985,41.89288925
316,81,82,12.5154927,41.8922274,12.5148666,41.8922332,12.51517965,41.8922303
317,83,81,12.5159993,41.8919212,12.5154927,41.8922274,12.515746,41.892074300000004
318,82,5667,12.5148666,41.8922332,12.5141029,41.8916207,12.51448475,41.89192695
